,dt,channel,username,message
0,20:58:14,#atrioc,"tmi.twitch.tv 001 smarz007 :Welcome, GLHF","itch.tv 001 smarz007 :Welcome, GLHF!"
1,20:58:14,#atrioc,smarz007,
2,20:58:14,#atrioc,donklive,:God I wish
3,20:58:14,#atrioc,chadmcgamer,":This voiceover guy doesn’t hold up, haha"
4,20:58:14,#atrioc,dommykins,:old nerd footage is pretty funny
5,20:58:14,#atrioc,dkc_jinouga,:#legalizepokefloats
6,20:58:14,#atrioc,choff1,:yayuuuuuuuuuuux
7,20:58:14,#atrioc,austinandgaming,:steve?
8,20:58:14,#atrioc,killljoyz,:OMEGADANCE
9,20:58:14,#atrioc,strikerking0,:Steve!
10,20:58:14,#atrioc,el_clean,:that dad looked OVER IT
11,20:58:14,#atrioc,yoyopika10,:OMEGADANCE
12,20:58:14,#atrioc,buttercupeya,:is that the dude from blues clues
13,20:58:14,#atrioc,holthis,:!subs
14,20:58:14,#atrioc,nightbot,":Sub count: 9,265"
15,20:58:14,#atrioc,skiddybones,:man this footage is old
16,20:58:14,#atrioc,popcanhop,:was that steve from blues clues OMEGALUL
17,20:58:14,#atrioc,lastshark,:D:
18,20:58:14,#atrioc,nightbot,:Chillindude (a big figure in the Smash scene) recently suffered a stroke. Help support him through this GoFundMe! https://www.gofundme.com/f/support-kashan-khans-chillin-stroke-recovery
19,20:58:14,#atrioc,raiderfalco,:Pog smash doc time
20,20:58:14,#atrioc,galenjader,:Yo we're getting close to 10k
21,20:58:14,#atrioc,queefreceptacle,:bro i literally just watched this doc in full this morning
22,20:58:14,#atrioc,aswizzle,:HOLY GIGACHAD
23,20:58:14,#atrioc,killljoyz,:OMEGADANCE  󠀀
24,20:58:14,#atrioc,tarotrick,:this is probably the best interview of all time
25,20:58:14,#atrioc,stuqii,:what is this guy doing now
26,20:58:14,#atrioc,rcweasel,:GIGACHAD
27,20:58:14,#atrioc,zimosyka,:Drive? MANA
28,20:58:14,#atrioc,twitchkingofangmar97,:@chrisdelg21 mixed with aiden
29,20:58:14,#atrioc,nicnotavalible,:Man you leave for 6 hours ang he is just going to sleep
30,20:58:14,#atrioc,deeceehaich,:@Atrioc isn't it hard to sleep with so much coffee in your system?
31,20:58:14,#atrioc,tc_worldpeace,:MARTH SLAYER ?? GIGACHAD
32,20:58:14,#atrioc,error11111111,:!chillindude
33,20:58:14,#atrioc,notno0ne,":OMEGALUL ""MARTH SLAYER"""
34,20:58:14,#atrioc,smalls____,:That guys sounds like a douche
35,20:58:14,#atrioc,nightbot,:Chillindude (a big figure in the Smash scene) recently suffered a stroke. Help support him through this GoFundMe! https://www.gofundme.com/f/support-kashan-khans-chillin-stroke-recovery
36,20:58:14,#atrioc,solarparade,:these stages OMEGALUL
37,20:58:14,#atrioc,error11111111,::(
38,20:58:14,#atrioc,xceedtheprice,:Wife if he beat ken is a top 10 player today
39,20:58:14,#atrioc,gordout,:rainbow cruise OMEGALUL
40,20:58:14,#atrioc,lastshark,:GIGACHAD He makes the error of staying marth
41,20:58:14,#atrioc,soggychoccy,:OMEGADANCE
42,20:58:14,#atrioc,aliasbart0,:GIGACHAD
43,20:58:14,#atrioc,michael_barron,:GIGACHAD
44,20:58:14,#atrioc,keiserk,:GIGACHAD
45,20:58:14,#atrioc,supergupo,:GIGACHAD WIFE
46,20:58:14,#atrioc,wiiuenthusiast,:GIGACHAD
47,20:58:14,#atrioc,choff1,:wife being such a character makes the doc so much better
48,20:58:14,#atrioc,smoketrees04,:GIGACHAD
49,20:58:14,#atrioc,estebantarriba,:GIGACHAD WIFE
